"Type","Path","Name","Description","Unit"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HBaja","1HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1HBaja","1HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1EA3","1EA3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1EA3","1EA3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1Hac","1Hac","@ABC","m/s^2"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1Hac","1Hac","@ABC","m/s^2"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1VV","1VV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1VV","1VV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1AV","1AV","","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1AV","1AV","","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1T","1T","","C"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\1T","1T","","C"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HV","2HV","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HV","2HV","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HBaja","2HBaja","@ABC","mm/s"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2HBaja","2HBaja","@ABC","mm/s"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2EA3","2EA3","@ABC","gE"
"POINT","\C4. MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2EA3","2EA3","@ABC","gE"
"POINT","\Hierarchy\MOLIENDA\MOLINO BOLAS 04\3224-MOLINO BOLA04 E\ML-004E-VENTILADOR\FA-101\MOTOR\2Hac","2Hac","@ABC","m/s^2"
